_id,OBJECTID,ROAD_TYPE,SIDEWALK_CODE,SIDEWALK_DESCRIPTION,CROSSWALK,CROSSWALK_TYPE,PX,PX_TYPE,LENGTH,geometry
79,79,Trail,13,Not applicable,, , , ,19.13897278,"{""coordinates"": [[[-79.3880290258909, 43.685258561379], [-79.3880239920986, 43.6854307964235]]], ""type"": ""MultiLineString""}"
80,80,Trail,13,Not applicable,, , , ,74.21938647,"{""coordinates"": [[[-79.3880290258909, 43.685258561379], [-79.3871480598499, 43.6854523572656]]], ""type"": ""MultiLineString""}"
81,81,Trail,13,Not applicable,, , , ,47.40433294,"{""coordinates"": [[[-79.4143880552314, 43.6459433311685], [-79.4143301467575, 43.6463679453004]]], ""type"": ""MultiLineString""}"
82,82,Trail,13,Not applicable,, , , ,16.94181496,"{""coordinates"": [[[-79.4144293621813, 43.6466997379837], [-79.4142414892816, 43.6466316278782]]], ""type"": ""MultiLineString""}"
83,83,Trail,13,Not applicable,, , , ,42.58767994,"{""coordinates"": [[[-79.4151586581964, 43.6472884308342], [-79.4146464145819, 43.6473811146364]]], ""type"": ""MultiLineString""}"
84,84,Trail,13,Not applicable,, , , ,69.48202556,"{""coordinates"": [[[-79.3248505972862, 43.7567646992349], [-79.3248516764447, 43.7561392620835]]], ""type"": ""MultiLineString""}"
85,85,Trail,13,Not applicable,, , , ,45.03045354,"{""coordinates"": [[[-79.4967160423823, 43.6756280398277], [-79.4961602927913, 43.6756678083515]]], ""type"": ""MultiLineString""}"
86,86,Trail,13,Not applicable,, , , ,75.62075484,"{""coordinates"": [[[-79.4800733423801, 43.6192772504755], [-79.4791680541087, 43.619101786624]]], ""type"": ""MultiLineString""}"
87,87,Trail,13,Not applicable,, , , ,43.42818678,"{""coordinates"": [[[-79.4640938693169, 43.6426295931167], [-79.4638289336896, 43.6429698695191]]], ""type"": ""MultiLineString""}"
88,88,Trail,13,Not applicable,, , , ,18.18268184,"{""coordinates"": [[[-79.4798489799427, 43.6129000413222], [-79.479749819843, 43.6130469989933]]], ""type"": ""MultiLineString""}"
89,89,Trail,13,Not applicable,, , , ,85.38669888,"{""coordinates"": [[[-79.4778208016761, 43.6153267543399], [-79.4774404036206, 43.6160439487497]]], ""type"": ""MultiLineString""}"
90,90,Trail,13,Not applicable,, , , ,74.59802889,"{""coordinates"": [[[-79.3467678552102, 43.6724486512932], [-79.3462506106204, 43.6730053817846]]], ""type"": ""MultiLineString""}"
